5k2/4R1b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/1RB3K1 b - - 0 28,-533
5k2/4n1b1/3NRr1p/r2b2p1/2p5/3p4/P4PPP/1RB3K1 b - - 4 28,-704
5k2/4n1b1/3N1r1p/r2bR1p1/2p5/3p4/P4PPP/1RB3K1 b - - 4 28,-766
5k2/4n1b1/3N1r1p/r2b2p1/2p1R3/3p4/P4PPP/1RB3K1 b - - 4 28,-751
5k2/4n1b1/3N1r1p/r2b2p1/2p5/3pR3/P4PPP/1RB3K1 b - - 4 28,-708
5k2/4n1b1/3N1r1p/r2b2p1/2p5/3p4/P3RPPP/1RB3K1 b - - 4 28,-788
5k2/4n1b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/1RB2RK1 b - - 4 28,-736
5k2/4n1b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/1RBR2K1 b - - 4 28,-707
5k2/4n1b1/3N1r1p/r2b2B1/2p5/3p4/P4PPP/1R2R1K1 b - - 0 28,-449
5k2/4n1b1/3N1r1p/r2b2p1/2p2B2/3p4/P4PPP/1R2R1K1 b - - 4 28,-586
5k2/4n1b1/3N1r1p/r2b2p1/2p5/3pB3/P4PPP/1R2R1K1 b - - 4 28,-700
5k2/4n1b1/3N1r1p/r2b2p1/2p5/B2p4/P4PPP/1R2R1K1 b - - 4 28,-527
5k2/4n1b1/3N1r1p/r2b2p1/2p5/3p4/P2B1PPP/1R2R1K1 b - - 4 28,-559
5k2/4n1b1/3N1r1p/r2b2p1/2p5/3p4/PB3PPP/1R2R1K1 b - - 4 28,-628
1R3k2/4n1b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/2B1R1K1 b - - 4 28,#+1
5k2/1R2n1b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/2B1R1K1 b - - 4 28,-676
5k2/4n1b1/1R1N1r1p/r2b2p1/2p5/3p4/P4PPP/2B1R1K1 b - - 4 28,-570
5k2/4n1b1/3N1r1p/rR1b2p1/2p5/3p4/P4PPP/2B1R1K1 b - - 4 28,-600
5k2/4n1b1/3N1r1p/r2b2p1/1Rp5/3p4/P4PPP/2B1R1K1 b - - 4 28,-730
5k2/4n1b1/3N1r1p/r2b2p1/2p5/1R1p4/P4PPP/2B1R1K1 b - - 4 28,-829
5k2/4n1b1/3N1r1p/r2b2p1/2p5/3p4/PR3PPP/2B1R1K1 b - - 4 28,-742
5k2/4n1b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/R1B1R1K1 b - - 4 28,-780
5k2/4n1b1/3N1r1p/r2b2p1/2p5/3p3P/P4PP1/1RB1R1K1 b - - 0 28,-731
5k2/4n1b1/3N1r1p/r2b2p1/2p5/3p2P1/P4P1P/1RB1R1K1 b - - 0 28,-719
5k2/4n1b1/3N1r1p/r2b2p1/2p5/3p1P2/P5PP/1RB1R1K1 b - - 0 28,-741
5k2/4n1b1/3N1r1p/r2b2p1/2p5/P2p4/5PPP/1RB1R1K1 b - - 0 28,-703
5k2/4n1b1/3N1r1p/r2b2p1/2p4P/3p4/P4PP1/1RB1R1K1 b - - 0 28,-634
5k2/4n1b1/3N1r1p/r2b2p1/2p3P1/3p4/P4P1P/1RB1R1K1 b - - 0 28,-734
5k2/4n1b1/3N1r1p/r2b2p1/2p2P2/3p4/P5PP/1RB1R1K1 b - - 0 28,-677
5k2/4n1b1/3N1r1p/r2b2p1/P1p5/3p4/5PPP/1RB1R1K1 b - - 0 28,-629
1R3k2/4n1b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/2B1R1K1 b - - 4 28,#+1
1Rn2k2/6b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/2B1R1K1 w - - 5 29,#+1
1Rn2k2/6b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/2B1R1K1 w - - 5 29,#+1
2R2k2/6b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/2B1R1K1 b - - 0 29,#+0
R1n2k2/6b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/2B1R1K1 b - - 6 29,-491
2n2k2/1R4b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/2B1R1K1 b - - 6 29,-668
2n2k2/6b1/1R1N1r1p/r2b2p1/2p5/3p4/P4PPP/2B1R1K1 b - - 6 29,-716
2n2k2/6b1/3N1r1p/rR1b2p1/2p5/3p4/P4PPP/2B1R1K1 b - - 6 29,-599
2n2k2/6b1/3N1r1p/r2b2p1/1Rp5/3p4/P4PPP/2B1R1K1 b - - 6 29,-708
2n2k2/6b1/3N1r1p/r2b2p1/2p5/1R1p4/P4PPP/2B1R1K1 b - - 6 29,-771
2n2k2/6b1/3N1r1p/r2b2p1/2p5/3p4/PR3PPP/2B1R1K1 b - - 6 29,-756
2n2k2/6b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/1RB1R1K1 b - - 6 29,-718
1Rn1Nk2/6b1/5r1p/r2b2p1/2p5/3p4/P4PPP/2B1R1K1 b - - 6 29,-500
1RN2k2/6b1/5r1p/r2b2p1/2p5/3p4/P4PPP/2B1R1K1 b - - 0 29,-265
1Rn2k2/5Nb1/5r1p/r2b2p1/2p5/3p4/P4PPP/2B1R1K1 b - - 6 29,-623
1Rn2k2/1N4b1/5r1p/r2b2p1/2p5/3p4/P4PPP/2B1R1K1 b - - 6 29,-526
1Rn2k2/6b1/5r1p/r2b1Np1/2p5/3p4/P4PPP/2B1R1K1 b - - 6 29,-568
1Rn2k2/6b1/5r1p/rN1b2p1/2p5/3p4/P4PPP/2B1R1K1 b - - 6 29,-479
1Rn2k2/6b1/5r1p/r2b2p1/2p1N3/3p4/P4PPP/2B1R1K1 b - - 6 29,-518
1Rn2k2/6b1/5r1p/r2b2p1/2N5/3p4/P4PPP/2B1R1K1 b - - 0 29,-201
1Rn2k2/6b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/2B1R2K b - - 6 29,-582
1Rn2k2/6b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/2B1RK2 b - - 6 29,-552
1Rn1Rk2/6b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/2B3K1 b - - 6 29,#+0
1Rn2k2/4R1b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/2B3K1 b - - 6 29,-702
1Rn2k2/6b1/3NRr1p/r2b2p1/2p5/3p4/P4PPP/2B3K1 b - - 6 29,-702
1Rn2k2/6b1/3N1r1p/r2bR1p1/2p5/3p4/P4PPP/2B3K1 b - - 6 29,-585
1Rn2k2/6b1/3N1r1p/r2b2p1/2p1R3/3p4/P4PPP/2B3K1 b - - 6 29,-597
1Rn2k2/6b1/3N1r1p/r2b2p1/2p5/3pR3/P4PPP/2B3K1 b - - 6 29,-538
1Rn2k2/6b1/3N1r1p/r2b2p1/2p5/3p4/P3RPPP/2B3K1 b - - 6 29,-744
1Rn2k2/6b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/2B2RK1 b - - 6 29,-603
1Rn2k2/6b1/3N1r1p/r2b2p1/2p5/3p4/P4PPP/2BR2K1 b - - 6 29,-592
1Rn2k2/6b1/3N1r1p/r2b2B1/2p5/3p4/P4PPP/4R1K1 b - - 0 29,-484
1Rn2k2/6b1/3N1r1p/r2b2p1/2p2B2/3p4/P4PPP/4R1K1 b - - 6 29,-443
1Rn2k2/6b1/3N1r1p/r2b2p1/2p5/3pB3/P4PPP/4R1K1 b - - 6 29,-544
1Rn2k2/6b1/3N1r1p/r2b2p1/2p5/B2p4/P4PPP/4R1K1 b - - 6 29,-258
1Rn2k2/6b1/3N1r1p/r2b2p1/2p5/3p4/P2B1PPP/4R1K1 b - - 6 29,-119
1Rn2k2/6b1/3N1r1p/r2b2p1/2p5/3p4/PB3PPP/4R1K1 b - - 6 29,-377
1Rn2k2/6b1/3N1r1p/r2b2p1/2p5/3p3P/P4PP1/2B1R1K1 b - - 0 29,-567
1Rn2k2/6b1/3N1r1p/r2b2p1/2p5/3p2P1/P4P1P/2B1R1K1 b - - 0 29,-553
1Rn2k2/6b1/3N1r1p/r2b2p1/2p5/3p1P2/P5PP/2B1R1K1 b - - 0 29,-532
1Rn2k2/6b1/3N1r1p/r2b2p1/2p5/P2p4/5PPP/2B1R1K1 b - - 0 29,-540
1Rn2k2/6b1/3N1r1p/r2b2p1/2p4P/3p4/P4PP1/2B1R1K1 b - - 0 29,-423
1Rn2k2/6b1/3N1r1p/r2b2p1/2p3P1/3p4/P4P1P/2B1R1K1 b - - 0 29,-496
1Rn2k2/6b1/3N1r1p/r2b2p1/2p2P2/3p4/P5PP/2B1R1K1 b - - 0 29,-539
1Rn2k2/6b1/3N1r1p/r2b2p1/P1p5/3p4/5PPP/2B1R1K1 b - - 0 29,-530
3r2k1/1p3pp1/p2p3p/2pP4/2P1Q1n1/2NPb3/PP4PP/6RK b - - 0 27,#-1
3r3k/1p3pp1/p2p3p/2pP4/2P1Q1n1/2NPb3/PP4PP/6RK w - - 1 28,640
3r1k2/1p3pp1/p2p3p/2pP4/2P1Q1n1/2NPb3/PP4PP/6RK w - - 1 28,607
5rk1/1p3pp1/p2p3p/2pP4/2P1Q1n1/2NPb3/PP4PP/6RK w - - 1 28,606
4r1k1/1p3pp1/p2p3p/2pP4/2P1Q1n1/2NPb3/PP4PP/6RK w - - 1 28,766
2r3k1/1p3pp1/p2p3p/2pP4/2P1Q1n1/2NPb3/PP4PP/6RK w - - 1 28,649
1r4k1/1p3pp1/p2p3p/2pP4/2P1Q1n1/2NPb3/PP4PP/6RK w - - 1 28,620
r5k1/1p3pp1/p2p3p/2pP4/2P1Q1n1/2NPb3/PP4PP/6RK w - - 1 28,633
6k1/1p1r1pp1/p2p3p/2pP4/2P1Q1n1/2NPb3/PP4PP/6RK w - - 1 28,692
3r2k1/1p3pp1/p2p1n1p/2pP4/2P1Q3/2NPb3/PP4PP/6RK w - - 1 28,626
3r2k1/1p3pp1/p2p3p/2pPn3/2P1Q3/2NPb3/PP4PP/6RK w - - 1 28,601
3r2k1/1p3pp1/p2p3p/2pP4/2P1Q3/2NPb3/PP4Pn/6RK w - - 0 28,569
3r2k1/1p3pp1/p2p3p/2pP4/2P1Q3/2NPb3/PP3nPP/6RK w - - 1 28,#-0
3r2k1/1p3pp1/p2p3p/2pP2b1/2P1Q1n1/2NP4/PP4PP/6RK w - - 1 28,653
